,t,controller,scenario,rollout,measurement,value,unsafe
214,0.26,Nominal,0,0,T1,17.900878912570263,
215,0.26,Nominal,0,0,T2,12.886657641881097,
216,0.27,Nominal,0,0,X,13.895943956211745,
217,0.27,Nominal,0,0,XDOT,-5.3150818426983335,
218,0.27,Nominal,0,0,Y,1.8968663899875742,
219,0.27,Nominal,0,0,YDOT,-2.492104689599962,
220,0.27,Nominal,0,0,PHI,0.8666248420761189,
221,0.27,Nominal,0,0,PHIDOT,-0.4477605225798347,
222,0.27,Nominal,0,0,T1,17.90593547508167,
223,0.27,Nominal,0,0,T2,12.961473107642536,
224,0.28,Nominal,0,0,X,13.842793137784762,
225,0.28,Nominal,0,0,XDOT,-5.403868919950326,
226,0.28,Nominal,0,0,Y,1.8719453430915745,
227,0.28,Nominal,0,0,YDOT,-2.507778022576394,
228,0.28,Nominal,0,0,PHI,0.8621472368503209,
229,0.28,Nominal,0,0,PHIDOT,-0.49710417625638426,
230,0.28,Nominal,0,0,T1,17.90875114219674,
231,0.28,Nominal,0,0,T2,13.037105162403432,
232,0.29,Nominal,0,0,X,13.788754448585259,
233,0.29,Nominal,0,0,XDOT,-5.492446595727266,
234,0.29,Nominal,0,0,Y,1.8468675628658104,
235,0.29,Nominal,0,0,YDOT,-2.5228109147702,
236,0.29,Nominal,0,0,PHI,0.857176195087757,
237,0.29,Nominal,0,0,PHIDOT,-0.5457085390625716,
238,0.29,Nominal,0,0,T1,17.909348642017946,
239,0.29,Nominal,0,0,T2,13.113402452889886,
240,0.3,Nominal,0,0,X,13.733829982627986,
241,0.3,Nominal,0,0,XDOT,-5.580766599467313,
242,0.3,Nominal,0,0,Y,1.8216394537181084,
243,0.3,Nominal,0,0,YDOT,-2.5371612515838833,
244,0.3,Nominal,0,0,PHI,0.8517191096971315,
245,0.3,Nominal,0,0,PHIDOT,-0.5935449436782936,
246,0.3,Nominal,0,0,T1,17.907748433973453,
247,0.3,Nominal,0,0,T2,13.190218898589137,
248,0.31,Nominal,0,0,X,13.678022316633314,
249,0.31,Nominal,0,0,XDOT,-5.668780001645363,
250,0.31,Nominal,0,0,Y,1.7962678412022697,
251,0.31,Nominal,0,0,YDOT,-2.5507883305791874,
252,0.31,Nominal,0,0,PHI,0.8457836602603486,
253,0.31,Nominal,0,0,PHIDOT,-0.6405863946473372,
254,0.31,Nominal,0,0,T1,17.903968944394364,
255,0.31,Nominal,0,0,T2,13.267413770012972,
256,0.32,Nominal,0,0,X,13.62133451661686,
257,0.32,Nominal,0,0,XDOT,-5.7564372220986355,
258,0.32,Nominal,0,0,Y,1.7707599578964779,
259,0.32,Nominal,0,0,YDOT,-2.5636529654259776,
260,0.32,Nominal,0,0,PHI,0.8393777963138751,
261,0.32,Nominal,0,0,PHIDOT,-0.6868074941591582,
262,0.32,Nominal,0,0,T1,17.89802680792906,
263,0.32,Nominal,0,0,T2,13.344851754975025,
264,0.33,Nominal,0,0,X,13.563770144395875,
265,0.33,Nominal,0,0,XDOT,-5.8436880447475925,
266,0.33,Nominal,0,0,Y,1.745123428242218,
267,0.33,Nominal,0,0,YDOT,-2.5757175867947923,
268,0.33,Nominal,0,0,PHI,0.8325097213722836,
269,0.33,Nominal,0,0,PHIDOT,-0.7321843695987656,
270,0.33,Nominal,0,0,T1,17.88993711398727,
271,0.33,Nominal,0,0,T2,13.422403012837368,
272,0.34,Nominal,0,0,X,13.5053332639484,
273,0.34,Nominal,0,0,XDOT,-5.930481638849218,
274,0.34,Nominal,0,0,Y,1.71936625237427,
275,0.34,Nominal,0,0,YDOT,-2.586946339883956,
276,0.34,Nominal,0,0,PHI,0.8251878776762958,
277,0.34,Nominal,0,0,PHIDOT,-0.7766946030349201,
278,0.34,Nominal,0,0,T1,17.87971365733584,
279,0.34,Nominal,0,0,T2,13.499943216705612,
280,0.35000000000000003,Nominal,0,0,X,13.446028447559907,
281,0.35000000000000003,Nominal,0,0,XDOT,-6.016766586871824,
282,0.35000000000000003,Nominal,0,0,Y,1.6934967889754304,
283,0.35000000000000003,Nominal,0,0,YDOT,-2.5973051782586585,
284,0.35000000000000003,Nominal,0,0,PHI,0.8174209316459464,
285,0.35000000000000003,Nominal,0,0,PHIDOT,-0.8203171628082381,
286,0.35000000000000003,Nominal,0,0,T1,17.86736919190228,
287,0.35000000000000003,Nominal,0,0,T2,13.577353583575714,
288,0.36,Nominal,0,0,X,13.38586078169119,
289,0.36,Nominal,0,0,XDOT,-6.102490919032137,
290,0.36,Nominal,0,0,Y,1.6675237371928437,
291,0.36,Nominal,0,0,YDOT,-2.6067619536682294,
292,0.36,Nominal,0,0,PHI,0.809217760017864,
293,0.36,Nominal,0,0,PHIDOT,-0.8630323373712905,
294,0.36,Nominal,0,0,T1,17.852915686781614,
295,0.36,Nominal,0,0,T2,13.654520892461049,
296,0.37,Nominal,0,0,X,13.324835872500868,
297,0.37,Nominal,0,0,XDOT,-6.187602154486678,
298,0.37,Nominal,0,0,Y,1.6414561176561615,
299,0.37,Nominal,0,0,YDOT,-2.6152865014992486,
300,0.37,Nominal,0,0,PHI,0.8005874366441512,
301,0.37,Nominal,0,0,PHIDOT,-0.9048216715224189,
302,0.37,Nominal,0,0,T1,17.83636458338766,
303,0.37,Nominal,0,0,T2,13.73133749055397,
304,0.38,Nominal,0,0,X,13.262959850956001,
305,0.38,Nominal,0,0,XDOT,-6.272047349120502,
306,0.38,Nominal,0,0,Y,1.615303252641169,
307,0.38,Nominal,0,0,YDOT,-2.622850721516451,
308,0.38,Nominal,0,0,PHI,0.7915392199289268,
309,0.38,Nominal,0,0,PHIDOT,-0.9456679051638275,
310,0.38,Nominal,0,0,T1,17.8177270526419,
311,0.38,Nominal,0,0,T2,13.807701287503647,
312,0.39,Nominal,0,0,X,13.200239377464797,
313,0.39,Nominal,0,0,XDOT,-6.355773149827677,
314,0.39,Nominal,0,0,Y,1.5890747454260046,
315,0.39,Nominal,0,0,YDOT,-2.629428653540794,
316,0.39,Nominal,0,0,PHI,0.7820825408772887,
317,0.39,Nominal,0,0,PHIDOT,-0.9855549147025956,
318,0.39,Nominal,0,0,T1,17.797014251052435,
319,0.39,Nominal,0,0,T2,13.883515737920494,
320,0.4,Nominal,0,0,X,13.13668164596652,
321,0.4,Nominal,0,0,XDOT,-6.438725855129446,
322,0.4,Nominal,0,0,Y,1.5627804588905967,
323,0.4,Nominal,0,0,YDOT,-2.634996547714791,
324,0.4,Nominal,0,0,PHI,0.7722269917302627,
325,0.4,Nominal,0,0,PHIDOT,-1.0244676572006495,
326,0.4,Nominal,0,0,T1,17.774237574502514,
327,0.4,Nominal,0,0,T2,13.958689812247723,
328,0.41000000000000003,Nominal,0,0,X,13.072294387415226,
329,0.41000000000000003,Nominal,0,0,XDOT,-6.520851481928421,
330,0.41000000000000003,Nominal,0,0,Y,1.5364304934134487,
331,0.41000000000000003,Nominal,0,0,YDOT,-2.639532929009454,
332,0.41000000000000003,Nominal,0,0,PHI,0.7619823151582561,
333,0.41000000000000003,Nominal,0,0,PHIDOT,-1.0623921173664987,
334,0.41000000000000003,Nominal,0,0,T1,17.749408908543213,
335,0.41000000000000003,Nominal,0,0,T2,14.033137956172098,
336,0.42,Nominal,0,0,X,13.007085872595942,
337,0.42,Nominal,0,0,XDOT,-6.6020958381504355,
338,0.42,Nominal,0,0,Y,1.5100351641233543,
339,0.42,Nominal,0,0,YDOT,-2.6430186556349886,
340,0.42,Nominal,0,0,PHI,0.7513583939845914,
341,0.42,Nominal,0,0,PHIDOT,-1.0993152574677438,
342,0.42,Nominal,0,0,T1,17.722540873968665,
343,0.42,Nominal,0,0,T2,14.106780038779052,
344,0.43,Nominal,0,0,X,12.941064914214438,
345,0.43,Nominal,0,0,XDOT,-6.682404600980412,
346,0.43,Nominal,0,0,Y,1.4836049775670044,
347,0.43,Nominal,0,0,YDOT,-2.6454369710289236,
348,0.43,Nominal,0,0,PHI,0.740365241409914,
349,0.43,Nominal,0,0,PHIDOT,-1.135224970229081,
350,0.43,Nominal,0,0,T1,17.69364706644486,
351,0.43,Nominal,0,0,T2,14.179541289691866,
352,0.44,Nominal,0,0,X,12.874240868204634,
353,0.44,Nominal,0,0,XDOT,-6.761723400354883,
354,0.44,Nominal,0,0,Y,1.4571506078567151,
355,0.44,Nominal,0,0,YDOT,-2.6467735491105686,
356,0.44,Nominal,0,0,PHI,0.7290129917076231,
357,0.44,Nominal,0,0,PHIDOT,-1.1701100347658244,
358,0.44,Nominal,0,0,T1,17.66274228896514,
359,0.44,Nominal,0,0,T2,14.25135222546998,
360,0.45,Nominal,0,0,X,12.806623634201085,
361,0.45,Nominal,0,0,XDOT,-6.839997907332157,
362,0.45,Nominal,0,0,Y,1.4306828723656095,
363,0.45,Nominal,0,0,YDOT,-2.6470165325096535,
364,0.45,Nominal,0,0,PHI,0.717311891359965,
365,0.45,Nominal,0,0,PHIDOT,-1.2039600755879363,
366,0.45,Nominal,0,0,T1,17.62984277591673,
367,0.45,Nominal,0,0,T2,14.322148565578411,
368,0.46,Nominal,0,0,X,12.738223655127763,
369,0.46,Nominal,0,0,XDOT,-6.917173926921776,
370,0.46,Nominal,0,0,Y,1.404212707040513,
371,0.46,Nominal,0,0,YDOT,-2.646156563499589,
372,0.46,Nominal,0,0,PHI,0.7052722906040856,
373,0.46,Nominal,0,0,PHIDOT,-1.2367655246942744,
374,0.46,Nominal,0,0,T1,17.594966407564055,
375,0.46,Nominal,0,0,T2,14.391871138277438,
376,0.47000000000000003,Nominal,0,0,X,12.669051915858546,
377,0.47000000000000003,Nominal,0,0,XDOT,-6.993197494918261,
378,0.47000000000000003,Nominal,0,0,Y,1.3777511414055172,
