,t,controller,scenario,rollout,measurement,value,unsafe
145,0.18,Nominal,0,0,XDOT,5.323441180799885,
146,0.18,Nominal,0,0,Y,6.610367671198386,
147,0.18,Nominal,0,0,YDOT,-2.1140062999725715,
148,0.18,Nominal,0,0,PHI,-0.6226440865982319,
149,0.18,Nominal,0,0,PHIDOT,1.2633578390473144,
150,0.18,Nominal,0,0,T1,16.912676115952014,
151,0.18,Nominal,0,0,T2,18.393749237060547,
152,0.19,Nominal,0,0,X,0.8753268898475178,
153,0.19,Nominal,0,0,XDOT,5.400478463302,
154,0.19,Nominal,0,0,Y,6.5892276081986605,
155,0.19,Nominal,0,0,YDOT,-2.095269105372447,
156,0.19,Nominal,0,0,PHI,-0.6100105082077585,
157,0.19,Nominal,0,0,PHIDOT,1.2778836830656946,
158,0.19,Nominal,0,0,T1,16.94631648855597,
159,0.19,Nominal,0,0,T2,18.393749237060547,
160,0.2,Nominal,0,0,X,0.9293316744805378,
161,0.2,Nominal,0,0,XDOT,5.476059897142719,
162,0.2,Nominal,0,0,Y,6.568274917144936,
163,0.2,Nominal,0,0,YDOT,-2.075409027945314,
164,0.2,Nominal,0,0,PHI,-0.5972316713771013,
165,0.2,Nominal,0,0,PHIDOT,1.292069847780209,
166,0.2,Nominal,0,0,T1,16.977021104808358,
167,0.2,Nominal,0,0,T2,18.393749237060547,
168,0.21,Nominal,0,0,X,0.9840922734519649,
169,0.21,Nominal,0,0,XDOT,5.55014762797795,
170,0.21,Nominal,0,0,Y,6.547520826865482,
171,0.21,Nominal,0,0,YDOT,-2.0544418862285556,
172,0.21,Nominal,0,0,PHI,-0.5843109728992992,
173,0.21,Nominal,0,0,PHIDOT,1.3059457673520565,
174,0.21,Nominal,0,0,T1,17.00606885591936,
175,0.21,Nominal,0,0,T2,18.393749237060547,
176,0.22,Nominal,0,0,X,1.0395937497317445,
177,0.22,Nominal,0,0,XDOT,5.622707150804312,
178,0.22,Nominal,0,0,Y,6.526976408003197,
179,0.22,Nominal,0,0,YDOT,-2.032380571901425,
180,0.22,Nominal,0,0,PHI,-0.5712515152257787,
181,0.22,Nominal,0,0,PHIDOT,1.3195280803929306,
182,0.22,Nominal,0,0,T1,17.034312815783164,
183,0.22,Nominal,0,0,T2,18.393749237060547,
184,0.23,Nominal,0,0,X,1.0958208212397875,
185,0.23,Nominal,0,0,XDOT,5.693706169936515,
186,0.23,Nominal,0,0,Y,6.506652602284182,
187,0.23,Nominal,0,0,YDOT,-2.0092363112397686,
188,0.23,Nominal,0,0,PHI,-0.5580562344218496,
189,0.23,Nominal,0,0,PHIDOT,1.3328248910235758,
190,0.23,Nominal,0,0,T1,17.0623247119667,
191,0.23,Nominal,0,0,T2,18.393749237060547,
192,0.24,Nominal,0,0,X,1.1527578829391527,
193,0.24,Nominal,0,0,XDOT,5.763113864539583,
194,0.24,Nominal,0,0,Y,6.4865602391717845,
195,0.24,Nominal,0,0,YDOT,-1.9850195087491946,
196,0.24,Nominal,0,0,PHI,-0.5447279855116136,
197,0.24,Nominal,0,0,PHIDOT,1.3458385842615885,
198,0.24,Nominal,0,0,T1,17.09049025158452,
199,0.24,Nominal,0,0,T2,18.393749237060547,
200,0.25,Nominal,0,0,X,1.2103890215845485,
201,0.25,Nominal,0,0,XDOT,5.8309004191362686,
202,0.25,Nominal,0,0,Y,6.466710044084293,
203,0.25,Nominal,0,0,YDOT,-1.9597403118568326,
204,0.25,Nominal,0,0,PHI,-0.5312695996689976,
205,0.25,Nominal,0,0,PHIDOT,1.3585676875155979,
206,0.25,Nominal,0,0,T1,17.119072008945906,
207,0.25,Nominal,0,0,T2,18.393749237060547,
208,0.26,Nominal,0,0,X,1.2686980257759113,
209,0.26,Nominal,0,0,XDOT,5.8970367272774205,
210,0.26,Nominal,0,0,Y,6.447112640965725,
211,0.26,Nominal,0,0,YDOT,-1.9334089892997346,
212,0.26,Nominal,0,0,PHI,-0.5176839227938417,
213,0.26,Nominal,0,0,PHIDOT,1.3710081027832095,
214,0.26,Nominal,0,0,T1,17.14825090427664,
215,0.26,Nominal,0,0,T2,18.393749237060547,
216,0.27,Nominal,0,0,X,1.3276683930486854,
